WorkerId,accession,assembly_level,assembly_name,bioproject,biosample,biosample_id,class,createdAt,family,ftp_path,genbank_accession,genbank_version,genus,id,index,isolate,meta,name,order,phylum,refseq_category,release_date,release_type,species,stats,strain,submitter,superkingdom,taxonomy_id,updatedAt,version,version_number,version_status,wgs_master,worker_id
,GCF_000017565,Complete Genome,ASM1756v1,PRJNA224116,SAMN00623055,623055,Alphaproteobacteria,2018-03-28T14:09:27.116Z,Rhodobiaceae,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/565/GCF_000017565.1_ASM1756v1,GCA_000017565,GCA_000017565.1,Parvibaculum,3105,2716.0,,{},Parvibaculum lavamentivorans DS-1,Rhizobiales,Proteobacteria,representative genome,2007-07-30,Major,Parvibaculum lavamentivorans,{},DS-1,US DOE Joint Genome Institute (JGI-PGF),Bacteria,402881,2021-03-04T06:02:18.530Z,GCF_000017565.1,1,latest,,
,GCF_900110775,Scaffold,IMG-taxon 2615840713 annotated assembly,PRJNA224116,SAMN04488092,4488092,Alphaproteobacteria,2018-03-28T14:09:28.102Z,Rhodobacteraceae,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/110/775/GCF_900110775.1_IMG-taxon_2615840713_annotated_assembly,GCA_900110775,GCA_900110775.1,Litorimicrobium,4479,4070.0,,{},Litorimicrobium taeanense,Rhodobacterales,Proteobacteria,representative genome,2016-11-17,Major,Litorimicrobium taeanense,{},,DOE - JOINT GENOME INSTITUTE,Bacteria,657014,2021-03-04T06:43:07.901Z,GCF_900110775.1,1,latest,FOEP00000000.1,
,GCF_001870665,Complete Genome,ASM187066v2,PRJNA224116,SAMN05717329,5717329,Alphaproteobacteria,2018-03-28T14:09:27.759Z,Rhodobacteraceae,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/870/665/GCF_001870665.2_ASM187066v2,GCA_001870665,GCA_001870665.2,Rhodobaca,3966,3563.0,,{},Rhodobaca barguzinensis,Rhodobacterales,Proteobacteria,representative genome,2017-11-28,Major,Rhodobaca barguzinensis,{},,Institute of Microbiology CAS,Bacteria,441209,2021-03-04T06:27:59.518Z,GCF_001870665.2,2,latest,,
,GCF_000442315,Scaffold,Ruthe,PRJNA224116,SAMN02469744,2469744,Alphaproteobacteria,2018-03-28T14:09:27.283Z,Rhodobacteraceae,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/442/315/GCF_000442315.1_Ruthe,GCA_000442315,GCA_000442315.1,Rubellimicrobium,3311,2919.0,,{},Rubellimicrobium thermophilum DSM 16684,Rhodobacterales,Proteobacteria,representative genome,2013-07-31,Major,Rubellimicrobium thermophilum,{},DSM 16684,Roseobacter SFB,Bacteria,1123069,2021-03-04T06:08:27.181Z,GCF_000442315.1,1,latest,AOLV00000000.1,
,GCF_000169415,Contig,ASM16941v1,PRJNA224116,SAMN02436093,2436093,Alphaproteobacteria,2018-03-28T14:09:26.302Z,Rhodobacteraceae,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/169/415/GCF_000169415.1_ASM16941v1,GCA_000169415,GCA_000169415.1,Sagittula,1720,1358.0,,{},Sagittula stellata E-37,Rhodobacterales,Proteobacteria,representative genome,2007-03-07,Major,Sagittula stellata,{},E-37,Gordon and Betty Moore Foundation Microbial Genome Sequencing Project,Bacteria,388399,2021-03-04T05:21:48.241Z,GCF_000169415.1,1,latest,AAYA00000000.1,
,GCF_000423645,Scaffold,ASM42364v1,PRJNA224116,SAMN02441501,2441501,Alphaproteobacteria,2018-03-28T14:09:27.959Z,Rhodobacteraceae,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/423/645/GCF_000423645.1_ASM42364v1,GCA_000423645,GCA_000423645.1,Sediminimonas,4279,3872.0,,{},Sediminimonas qiaohouensis DSM 21189,Rhodobacterales,Proteobacteria,representative genome,2013-07-11,Major,Sediminimonas qiaohouensis,{},DSM 21189,DOE Joint Genome Institute,Bacteria,1123247,2021-03-04T06:37:21.417Z,GCF_000423645.1,1,latest,AUIJ00000000.1,
,GCF_000021325,Complete Genome,ASM2132v1,PRJNA224116,SAMN02598444,2598444,Alphaproteobacteria,2018-03-28T14:09:26.039Z,Acetobacteraceae,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/325/GCF_000021325.1_ASM2132v1,GCA_000021325,GCA_000021325.1,Gluconacetobacter,1330,982.0,,{},Gluconacetobacter diazotrophicus PA1 5,Rhodospirillales,Proteobacteria,representative genome,2008-10-16,Major,Gluconacetobacter diazotrophicus,{},PA1 5,US DOE Joint Genome Institute (JGI-PGF),Bacteria,272568,2021-03-04T05:10:16.048Z,GCF_000021325.1,1,latest,,
,GCF_000421265,Contig,ASM42126v1,PRJNA224116,SAMN02440903,2440903,Alphaproteobacteria,2018-03-28T14:09:26.837Z,Rhodospirillaceae,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/421/265/GCF_000421265.1_ASM42126v1,GCA_000421265,GCA_000421265.1,Thalassospira,2662,2280.0,,{},Thalassospira lucentensis MCCC 1A00383 = DSM 14000,Rhodospirillales,Proteobacteria,representative genome,2013-07-09,Major,Thalassospira lucentensis,{},MCCC 1A00383 = DSM 14000,DOE Joint Genome Institute,Bacteria,1123365,2021-03-04T05:49:26.944Z,GCF_000421265.1,1,latest,ATWN00000000.1,
,GCF_000063545,Complete Genome,ASM6354v1,PRJNA224116,SAMEA3138266,3215712,Alphaproteobacteria,2018-03-28T14:09:25.392Z,Rickettsiaceae,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/063/545/GCF_000063545.1_ASM6354v1,GCA_000063545,GCA_000063545.1,Orientia,507,218.0,,{},Orientia tsutsugamushi str. Boryong,Rickettsiales,Proteobacteria,representative genome,2007-05-15,Major,Orientia tsutsugamushi,{},str. Boryong,Seoul National University College of Medicine,Bacteria,357244,2021-03-04T04:45:56.036Z,GCF_000063545.1,1,latest,,
,GCF_000007025,Complete Genome,ASM702v1,PRJNA224116,SAMN02603141,2603141,Alphaproteobacteria,2018-03-28T14:09:25.359Z,Rickettsiaceae,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/025/GCF_000007025.1_ASM702v1,GCA_000007025,GCA_000007025.1,Rickettsia,505,216.0,,{},Rickettsia conorii str. Malish 7,Rickettsiales,Proteobacteria,representative genome,2002-11-25,Major,Rickettsia conorii,{},str. Malish 7,CNRS,Bacteria,272944,2021-03-04T04:45:51.939Z,GCF_000007025.1,1,latest,,
,GCF_001752665,Scaffold,ASM175266v1,PRJNA224116,SAMN05806092,5806092,Alphaproteobacteria,2018-03-28T14:09:25.429Z,Anaplasmataceae,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/752/665/GCF_001752665.1_ASM175266v1,GCA_001752665,GCA_001752665.1,Wolbachia,577,283.0,,{},Wolbachia pipientis,Rickettsiales,Proteobacteria,representative genome,2016-10-05,Major,Wolbachia pipientis,{},,Oregon State University,Bacteria,955,2021-03-04T04:47:53.678Z,GCF_001752665.1,1,latest,MJMG00000000.1,
,GCF_000616095,Contig,ASM61609v1,PRJNA224116,SAMD00008912,2725308,Alphaproteobacteria,2018-03-28T14:09:27.682Z,Sneathiellaceae,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/616/095/GCF_000616095.1_ASM61609v1,GCA_000616095,GCA_000616095.1,Sneathiella,3879,3476.0,,{},Sneathiella glossodoripedis JCM 23214,Sneathiellales,Proteobacteria,representative genome,2014-03-31,Major,Sneathiella glossodoripedis,{},JCM 23214,The University of Tokyo,Bacteria,1236958,2021-03-04T06:25:26.760Z,GCF_000616095.1,1,latest,BAMS00000000.1,
,GCF_000420765,Contig,ASM42076v1,PRJNA224116,SAMN02441589,2441589,Alphaproteobacteria,2018-03-28T14:09:26.970Z,Sphingomonadaceae,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/420/765/GCF_000420765.1_ASM42076v1,GCA_000420765,GCA_000420765.1,Sandarakinorhabdus,2877,2489.0,,{},Sandarakinorhabdus limnophila DSM 17366,Sphingomonadales,Proteobacteria,representative genome,2013-07-09,Major,Sandarakinorhabdus limnophila,{},DSM 17366,DOE Joint Genome Institute,Bacteria,1123240,2021-03-04T05:55:33.557Z,GCF_000420765.1,1,latest,ATVO00000000.1,
