id,worker_id,accession,version,version_number,genbank_accession,genbank_version,taxonomy_id,name,refseq_category,bioproject,biosample,wgs_master,isolate,version_status,assembly_level,release_type,release_date,assembly_name,submitter,ftp_path,superkingdom,phylum,class,order,family,genus,species,strain,stats,meta,biosample_id,createdAt,updatedAt,WorkerId
2878,,GCF_000761155,GCF_000761155.1,1,GCA_000761155,GCA_000761155.1,216142,Pseudomonas rhizosphaerae,representative genome,PRJNA224116,SAMN03077633,,,latest,Complete Genome,Major,2014-10-01,ASM76115v1,Kyungpook National University,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/761/155/GCF_000761155.1_ASM76115v1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas rhizosphaerae,,{},{},3077633,2018-03-28T14:09:26.970Z,2021-03-04T05:55:35.682Z,
3031,,GCF_001913135,GCF_001913135.1,1,GCA_001913135,GCA_001913135.1,237610,Pseudomonas psychrotolerans,representative genome,PRJNA224116,SAMN05860868,,,latest,Complete Genome,Major,2016-12-21,ASM191313v1,Zhejiang Sci-Tech University,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/913/135/GCF_001913135.1_ASM191313v1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas psychrotolerans,,{},{},5860868,2018-03-28T14:09:27.068Z,2021-03-04T06:00:00.479Z,
3059,,GCF_000759445,GCF_000759445.1,1,GCA_000759445,GCA_000759445.1,243924,Pseudomonas lutea,representative genome,PRJNA224116,SAMN03077637,JRMB00000000.1,,latest,Contig,Major,2014-09-29,ASM75944v1,Kyungpook National University,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/759/445/GCF_000759445.1_ASM75944v1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas lutea,,{},{},3077637,2018-03-28T14:09:27.115Z,2021-03-04T06:00:54.553Z,
3083,,GCF_000007805,GCF_000007805.1,1,GCA_000007805,GCA_000007805.1,223283,Pseudomonas syringae pv. tomato str. DC3000,reference genome,PRJNA57967,SAMN02604017,,,latest,Complete Genome,Major,2003-03-05,ASM780v1,TIGR,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/805/GCF_000007805.1_ASM780v1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas syringae group genomosp. 3,pv. tomato str. DC3000,{},{},2604017,2018-03-28T14:09:27.116Z,2021-03-04T06:01:40.188Z,
3095,,GCF_900114765,GCF_900114765.1,1,GCA_900114765,GCA_900114765.1,254161,Pseudomonas pachastrellae,representative genome,PRJNA224116,SAMN05216256,FOUD00000000.1,,latest,Scaffold,Major,2016-11-02,IMG-taxon 2663763599 annotated assembly,DOE - JOINT GENOME INSTITUTE,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/114/765/GCF_900114765.1_IMG-taxon_2663763599_annotated_assembly,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas pachastrellae,,{},{},5216256,2018-03-28T14:09:27.116Z,2021-03-04T06:02:02.936Z,
3281,,GCF_900115555,GCF_900115555.1,1,GCA_900115555,GCA_900115555.1,289003,Pseudomonas borbori,representative genome,PRJNA224116,SAMN05216190,FOWX00000000.1,,latest,Scaffold,Major,2016-11-02,IMG-taxon 2671180032 annotated assembly,DOE - JOINT GENOME INSTITUTE,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/115/555/GCF_900115555.1_IMG-taxon_2671180032_annotated_assembly,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas borbori,,{},{},5216190,2018-03-28T14:09:27.249Z,2021-03-04T06:07:30.906Z,
3296,,GCF_000425625,GCF_000425625.1,1,GCA_000425625,GCA_000425625.1,1292027,Pseudomonas azotifigens DSM 17556,representative genome,PRJNA224116,SAMN02441543,AUDU00000000.1,,latest,Scaffold,Major,2013-07-11,ASM42562v1,DOE Joint Genome Institute,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/425/625/GCF_000425625.1_ASM42562v1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas azotifigens,DSM 17556,{},{},2441543,2018-03-28T14:09:27.250Z,2021-03-04T06:07:56.576Z,
3415,,GCF_900111835,GCF_900111835.1,1,GCA_900111835,GCA_900111835.1,319939,Pseudomonas otitidis,representative genome,PRJNA224116,SAMN05216263,FOJP00000000.1,,latest,Scaffold,Major,2016-11-05,IMG-taxon 2663762781 annotated assembly,DOE - JOINT GENOME INSTITUTE,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/111/835/GCF_900111835.1_IMG-taxon_2663762781_annotated_assembly,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas otitidis,,{},{},5216263,2018-03-28T14:09:27.351Z,2021-03-04T06:11:37.900Z,
3610,,GCF_900105995,GCF_900105995.1,1,GCA_900105995,GCA_900105995.1,364197,Pseudomonas pohangensis,representative genome,PRJNA224116,SAMN05216296,,,latest,Chromosome,Major,2016-10-21,IMG-taxon 2667527387 annotated assembly,DOE - JOINT GENOME INSTITUTE,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/105/995/GCF_900105995.1_IMG-taxon_2667527387_annotated_assembly,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas pohangensis,,{},{},5216296,2018-03-28T14:09:27.482Z,2021-03-04T06:17:36.238Z,
3680,,GCF_000397205,GCF_000397205.1,1,GCA_000397205,GCA_000397205.1,1124983,Pseudomonas protegens CHA0,representative genome,PRJNA224116,SAMN02603271,,,latest,Complete Genome,Major,2013-05-16,ASM39720v1,"Georg-August-University Goettingen, Genomic and Applied Microbiology, Goettingen Genomics Laboratory",ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/397/205/GCF_000397205.1_ASM39720v1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas protegens,CHA0,{},{},2603271,2018-03-28T14:09:27.519Z,2021-03-04T06:19:39.090Z,
3908,,GCF_900113745,GCF_900113745.1,1,GCA_900113745,GCA_900113745.1,425504,Pseudomonas guineae,representative genome,PRJNA224116,SAMN05216206,FOQL00000000.1,,latest,Scaffold,Major,2016-11-02,IMG-taxon 2667527413 annotated assembly,DOE - JOINT GENOME INSTITUTE,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/113/745/GCF_900113745.1_IMG-taxon_2667527413_annotated_assembly,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas guineae,,{},{},5216206,2018-03-28T14:09:27.724Z,2021-03-04T06:26:20.769Z,
3954,,GCF_900116605,GCF_900116605.1,1,GCA_900116605,GCA_900116605.1,437900,Pseudomonas marincola,representative genome,PRJNA224116,SAMN05216264,FPBC00000000.1,,latest,Scaffold,Major,2016-11-02,IMG-taxon 2663763603 annotated assembly,DOE - JOINT GENOME INSTITUTE,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/116/605/GCF_900116605.1_IMG-taxon_2663763603_annotated_assembly,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas marincola,,{},{},5216264,2018-03-28T14:09:27.726Z,2021-03-04T06:27:40.453Z,
4073,,GCF_900105255,GCF_900105255.1,1,GCA_900105255,GCA_900105255.1,472181,Pseudomonas sabulinigri,representative genome,PRJNA224116,SAMN05216271,,,latest,Chromosome,Major,2016-10-21,IMG-taxon 2675902958 annotated assembly,DOE - JOINT GENOME INSTITUTE,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/105/255/GCF_900105255.1_IMG-taxon_2675902958_annotated_assembly,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas sabulinigri,,{},{},5216271,2018-03-28T14:09:27.825Z,2021-03-04T06:31:13.204Z,
4125,,GCF_900104945,GCF_900104945.1,1,GCA_900104945,GCA_900104945.1,487184,Pseudomonas xinjiangensis,representative genome,PRJNA224116,SAMN05216421,,,latest,Chromosome,Major,2016-10-20,IMG-taxon 2667527388 annotated assembly,DOE - JOINT GENOME INSTITUTE,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/104/945/GCF_900104945.1_IMG-taxon_2667527388_annotated_assembly,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas xinjiangensis,,{},{},5216421,2018-03-28T14:09:27.859Z,2021-03-04T06:32:47.647Z,
4219,,GCF_000421765,GCF_000421765.1,1,GCA_000421765,GCA_000421765.1,521719,Pseudomonas caeni DSM 24390,representative genome,PRJNA224116,SAMN02440589,ATXQ00000000.1,,latest,Contig,Major,2013-07-09,ASM42176v1,DOE Joint Genome Institute,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/421/765/GCF_000421765.1_ASM42176v1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas caeni,DSM 24390,{},{},2440589,2018-03-28T14:09:27.926Z,2021-03-04T06:35:32.691Z,
4220,,GCF_000826105,GCF_000826105.1,1,GCA_000826105,GCA_000826105.1,522492,Pseudomonas massiliensis,representative genome,PRJNA224116,SAMEA2821758,CCYK00000000.1,,latest,Contig,Major,2014-10-18,Pseudomonas massiliensis CB1,URMITE,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/826/105/GCF_000826105.1_Pseudomonas_massiliensis_CB1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas massiliensis,,{},{},12519958,2018-03-28T14:09:27.926Z,2021-03-04T06:35:34.690Z,
4284,,GCF_000410875,GCF_000410875.1,1,GCA_000410875,GCA_000410875.1,1323663,Pseudomonas pelagia CL-AP6,representative genome,PRJNA224116,SAMN02470162,AROI00000000.1,,latest,Contig,Major,2013-06-13,KCCM90073,KOPRI,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/410/875/GCF_000410875.1_KCCM90073,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas pelagia,CL-AP6,{},{},2470162,2018-03-28T14:09:27.959Z,2021-03-04T06:37:29.780Z,
4297,,GCF_900100495,GCF_900100495.1,1,GCA_900100495,GCA_900100495.1,556533,Pseudomonas benzenivorans,representative genome,PRJNA224116,SAMN05216603,FNCT00000000.1,,latest,Scaffold,Major,2016-10-21,IMG-taxon 2663762779 annotated assembly,DOE - JOINT GENOME INSTITUTE,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/100/495/GCF_900100495.1_IMG-taxon_2663762779_annotated_assembly,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas benzenivorans,,{},{},5216603,2018-03-28T14:09:27.960Z,2021-03-04T06:37:52.818Z,
4345,,GCF_000498575,GCF_000498575.2,2,GCA_000498575,GCA_000498575.2,1395571,Pseudomonas taeanensis MS-3,representative genome,PRJNA224116,SAMN02470138,AWSQ00000000.1,,latest,Contig,Minor,2013-11-22,MS-3,Korea Basic Science Institute,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/498/575/GCF_000498575.2_MS-3,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas taeanensis,MS-3,{},{},2470138,2018-03-28T14:09:27.993Z,2021-03-04T06:39:15.041Z,
4563,,GCF_000806415,GCF_000806415.1,1,GCA_000806415,GCA_000806415.1,706570,Pseudomonas flexibilis,representative genome,PRJNA224116,SAMN03174901,JTAK00000000.1,,latest,Contig,Major,2014-12-22,ASM80641v1,Korea University,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/806/415/GCF_000806415.1_ASM80641v1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas flexibilis,,{},{},3174901,2018-03-28T14:09:28.191Z,2021-03-04T06:45:43.011Z,
4624,,GCF_900105005,GCF_900105005.1,1,GCA_900105005,GCA_900105005.1,797277,Pseudomonas litoralis,representative genome,PRJNA224116,SAMN05216198,,,latest,Chromosome,Major,2016-10-20,IMG-taxon 2667527220 annotated assembly,DOE - JOINT GENOME INSTITUTE,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/105/005/GCF_900105005.1_IMG-taxon_2667527220_annotated_assembly,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas litoralis,,{},{},5216198,2018-03-28T14:09:28.227Z,2021-03-04T06:47:24.419Z,
4627,,GCF_002197985,GCF_002197985.1,1,GCA_002197985,GCA_002197985.1,857252,Pseudomonas aestusnigri,representative genome,PRJNA224116,SAMN06688252,NBYK00000000.1,,latest,Scaffold,Major,2017-06-19,ASM219798v1,University of Balearic Islands,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/197/985/GCF_002197985.1_ASM219798v1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aestusnigri,,{},{},6688252,2018-03-28T14:09:28.227Z,2021-03-04T06:47:29.825Z,
4764,,GCF_900115905,GCF_900115905.1,1,GCA_900115905,GCA_900115905.1,1002526,Pseudomonas formosensis,representative genome,PRJNA224116,SAMN05216578,FOYD00000000.1,,latest,Scaffold,Major,2016-11-02,IMG-taxon 2663762775 annotated assembly,DOE - JOINT GENOME INSTITUTE,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/115/905/GCF_900115905.1_IMG-taxon_2663762775_annotated_assembly,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas formosensis,,{},{},5216578,2018-03-28T14:09:28.349Z,2021-03-04T06:51:37.227Z,
4774,,GCF_900106975,GCF_900106975.1,1,GCA_900106975,GCA_900106975.1,1007099,Pseudomonas kuykendallii,representative genome,PRJNA224116,SAMN05216287,FNNU00000000.1,,latest,Scaffold,Major,2016-10-22,IMG-taxon 2671180037 annotated assembly,DOE - JOINT GENOME INSTITUTE,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/106/975/GCF_900106975.1_IMG-taxon_2671180037_annotated_assembly,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas kuykendallii,,{},{},5216287,2018-03-28T14:09:28.350Z,2021-03-04T06:51:56.004Z,
4842,,GCF_900141925,GCF_900141925.1,1,GCA_900141925,GCA_900141925.1,1076620,Pseudomonas zeshuii,representative genome,PRJNA224116,SAMN05216295,FQYS00000000.1,,latest,Scaffold,Major,2016-12-03,IMG-taxon 2663762797 annotated assembly,DOE - JOINT GENOME INSTITUTE,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/141/925/GCF_900141925.1_IMG-taxon_2663762797_annotated_assembly,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas zeshuii,,{},{},5216295,2018-03-28T14:09:28.384Z,2021-03-04T06:53:50.780Z,
4924,,GCF_900115715,GCF_900115715.1,1,GCA_900115715,GCA_900115715.1,1135990,Pseudomonas sagittaria,representative genome,PRJNA224116,SAMN05216229,FOXM00000000.1,,latest,Scaffold,Major,2016-11-02,IMG-taxon 2663762798 annotated assembly,DOE - JOINT GENOME INSTITUTE,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/115/715/GCF_900115715.1_IMG-taxon_2663762798_annotated_assembly,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas sagittaria,,{},{},5216229,2018-03-28T14:09:28.451Z,2021-03-04T06:56:21.034Z,
