,id,worker_id,accession,version,version_number,genbank_accession,genbank_version,taxonomy_id,name,refseq_category,bioproject,biosample,wgs_master,isolate,version_status,assembly_level,release_type,release_date,assembly_name,submitter,ftp_path,superkingdom,phylum,class,order,family,genus,species,strain,stats,meta,biosample_id,createdAt,updatedAt,WorkerId
0,281,,GCF_000165485,GCF_000165485.1,1,GCA_000165485,GCA_000165485.1,378806,Stigmatella aurantiaca DW4/3-1,representative genome,PRJNA224116,SAMN02603592,,,latest,Complete Genome,Major,2010-10-21,ASM16548v1,Max Planck Institute for Terrestrial Microbiology,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/165/485/GCF_000165485.1_ASM16548v1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Stigmatella,Stigmatella aurantiaca,DW4/3-1,{},{},2603592,2018-03-28T14:09:25.187Z,2021-03-04T04:39:26.237Z,
0,282,,GCF_000335475,GCF_000335475.2,2,GCA_000335475,GCA_000335475.2,1242864,Cystobacter fuscus DSM 2262,representative genome,PRJNA224116,SAMN02470006,ANAH00000000.2,,latest,Contig,Major,2013-07-30,ASM33547v2,IMTECH-CSIR,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/335/475/GCF_000335475.2_ASM33547v2,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Cystobacter,Cystobacter fuscus,DSM 2262,{},{},2470006,2018-03-28T14:09:25.187Z,2021-03-04T04:39:27.339Z,
0,283,,GCF_001027285,GCF_001027285.1,1,GCA_001027285,GCA_001027285.1,48,Archangium gephyra,representative genome,PRJNA224116,SAMN03704078,,,latest,Complete Genome,Major,2015-06-03,ASM102728v1,"Dr. Srikrishna Subramanian, Protein Science and Engineering, Institute of Microbial Technology, Chandigarh, India",ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/027/285/GCF_001027285.1_ASM102728v1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Archangium,Archangium gephyra,,{},{},3704078,2018-03-28T14:09:25.187Z,2021-03-04T04:39:29.506Z,
0,284,,GCF_000601485,GCF_000601485.1,1,GCA_000601485,GCA_000601485.1,1192034,Chondromyces apiculatus DSM 436,representative genome,PRJNA224116,SAMN02952950,ASRX00000000.1,,latest,Contig,Major,2014-03-27,Chondromyces apiculatus DSM 436 genome assembly,IMTECH-CSIR,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/601/485/GCF_000601485.1_Chondromyces_apiculatus_DSM_436_genome_assembly,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Chondromyces,Chondromyces apiculatus,DSM 436,{},{},2952950,2018-03-28T14:09:25.187Z,2021-03-04T04:39:31.056Z,
0,285,,GCF_001189295,GCF_001189295.1,1,GCA_001189295,GCA_001189295.1,52,Chondromyces crocatus,representative genome,PRJNA224116,SAMN03651481,,,latest,Complete Genome,Major,2015-07-30,ASM118929v1,Helmholtz Centre for Infection Research,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/189/295/GCF_001189295.1_ASM118929v1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Chondromyces,Chondromyces crocatus,,{},{},3651481,2018-03-28T14:09:25.187Z,2021-03-04T04:39:32.776Z,
0,286,,GCF_000067165,GCF_000067165.1,1,GCA_000067165,GCA_000067165.1,448385,Sorangium cellulosum So ce56,representative genome,PRJNA224116,SAMEA3138271,,,latest,Complete Genome,Major,2007-11-27,ASM6716v1,Bielefeld Univ,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/067/165/GCF_000067165.1_ASM6716v1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,So ce56,{},{},3215717,2018-03-28T14:09:25.187Z,2021-03-04T04:39:34.881Z,
0,287,,GCF_000382305,GCF_000382305.1,1,GCA_000382305,GCA_000382305.1,1123499,Vitreoscilla stercoraria DSM 513,representative genome,PRJNA224116,SAMN02441651,ARNN00000000.1,,latest,Scaffold,Major,2013-04-24,ASM38230v1,DOE Joint Genome Institute,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/382/305/GCF_000382305.1_ASM38230v1,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Vitreoscilla,Vitreoscilla stercoraria,DSM 513,{},{},2441651,2018-03-28T14:09:25.187Z,2021-03-04T04:39:36.713Z,
0,288,,GCF_002222655,GCF_002222655.1,1,GCA_002222655,GCA_002222655.1,63,Vitreoscilla filiformis,representative genome,PRJNA224116,SAMN07313362,,,latest,Complete Genome,Major,2017-07-20,ASM222265v1,L'Oreal,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/222/655/GCF_002222655.1_ASM222265v1,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Vitreoscilla,Vitreoscilla filiformis,,{},{},7313362,2018-03-28T14:09:25.187Z,2021-03-04T04:39:38.096Z,
0,289,,GCF_001442515,GCF_001442515.1,1,GCA_001442515,GCA_001442515.1,69,Lysobacter enzymogenes,representative genome,PRJNA224116,SAMN04158597,,,latest,Chromosome,Major,2015-11-12,ASM144251v1,"Rutgers, The State University of New Jersey",ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/442/515/GCF_001442515.1_ASM144251v1,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,Lysobacter enzymogenes,,{},{},4158597,2018-03-28T14:09:25.187Z,2021-03-04T04:39:39.840Z,
0,290,,GCF_000163775,GCF_000163775.2,2,GCA_000163775,GCA_000163775.2,641147,Simonsiella muelleri ATCC 29453,representative genome,PRJNA224116,SAMN02463833,ADCY00000000.2,,latest,Scaffold,Major,2012-09-19,Simo_muel_ATCC_29453_V2,Broad Institute,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/163/775/GCF_000163775.2_Simo_muel_ATCC_29453_V2,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Simonsiella,Simonsiella muelleri,ATCC 29453,{},{},2463833,2018-03-28T14:09:25.187Z,2021-03-04T04:39:41.867Z,
0,291,,GCF_000685215,GCF_000685215.1,1,GCA_000685215,GCA_000685215.1,1280952,Hyphomonas jannaschiana VP2,representative genome,PRJNA224116,SAMN02746699,ARYJ00000000.1,,latest,Contig,Major,2014-05-06,SOAPdenovo v1.05,The Third Institute of State Oceanic Administration (SOA),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/685/215/GCF_000685215.1_SOAPdenovo_v1.05,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Hyphomonadaceae,Hyphomonas,Hyphomonas jannaschiana,VP2,{},{},2746699,2018-03-28T14:09:25.187Z,2021-03-04T04:39:42.934Z,
0,292,,GCF_000427405,GCF_000427405.1,1,GCA_000427405,GCA_000427405.1,929703,Flectobacillus major DSM 103,representative genome,PRJNA224116,SAMN00262208,ATXY00000000.1,,latest,Scaffold,Major,2013-07-15,ASM42740v1,DOE Joint Genome Institute,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/427/405/GCF_000427405.1_ASM42740v1,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Flectobacillus,Flectobacillus major,DSM 103,{},{},262208,2018-03-28T14:09:25.188Z,2021-03-04T04:39:44.063Z,
0,293,,GCF_000222485,GCF_000222485.1,1,GCA_000222485,GCA_000222485.1,880070,Cyclobacterium marinum DSM 745,representative genome,PRJNA224116,SAMN02261369,,,latest,Complete Genome,Major,2011-08-03,ASM22248v1,JGI,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/222/485/GCF_000222485.1_ASM22248v1,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cyclobacteriaceae,Cyclobacterium,Cyclobacterium marinum,DSM 745,{},{},2261369,2018-03-28T14:09:25.188Z,2021-03-04T04:39:46.355Z,
0,294,,GCF_000218895,GCF_000218895.1,1,GCA_000218895,GCA_000218895.1,761193,Runella slithyformis DSM 19594,representative genome,PRJNA224116,SAMN02232050,,,latest,Complete Genome,Major,2011-06-17,ASM21889v1,US DOE Joint Genome Institute (JGI-PGF),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/218/895/GCF_000218895.1_ASM21889v1,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Runella,Runella slithyformis,DSM 19594,{},{},2232050,2018-03-28T14:09:25.188Z,2021-03-04T04:39:48.455Z,
0,295,,GCF_000171775,GCF_000171775.1,1,GCA_000171775,GCA_000171775.1,214688,Gemmata obscuriglobus UQM 2246,representative genome,PRJNA224116,SAMN02436172,ABGO00000000.1,,latest,Contig,Major,2007-10-23,ASM17177v1,J. Craig Venter Institute,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/171/775/GCF_000171775.1_ASM17177v1,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Gemmataceae,Gemmata,Gemmata obscuriglobus,UQM 2246,{},{},2436172,2018-03-28T14:09:25.188Z,2021-03-04T04:39:49.583Z,
0,296,,GCF_000165715,GCF_000165715.2,2,GCA_000165715,GCA_000165715.3,756272,Rubinisphaera brasiliensis DSM 5305,representative genome,PRJNA224116,SAMN00103628,,,latest,Complete Genome,Major,2011-03-01,ASM16571v3,US DOE Joint Genome Institute (JGI-PGF),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/165/715/GCF_000165715.2_ASM16571v3,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Rubinisphaera,Rubinisphaera brasiliensis,DSM 5305,{},{},103628,2018-03-28T14:09:25.188Z,2021-03-04T04:39:50.890Z,
0,297,,GCF_000092105,GCF_000092105.1,1,GCA_000092105,GCA_000092105.1,521674,Planctopirus limnophila DSM 3776,representative genome,PRJNA224116,SAMN02598463,,,latest,Complete Genome,Major,2010-05-13,ASM9210v1,US DOE Joint Genome Institute (JGI-PGF),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/092/105/GCF_000092105.1_ASM9210v1,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Planctopirus,Planctopirus limnophila,DSM 3776,{},{},2598463,2018-03-28T14:09:25.188Z,2021-03-04T04:39:52.490Z,
0,298,,GCF_000181475,GCF_000181475.1,1,GCA_000181475,GCA_000181475.1,344747,Gimesia maris DSM 8797,representative genome,PRJNA224116,SAMN02436120,ABCE00000000.1,,latest,Contig,Major,2007-06-15,ASM18147v1,Gordon and Betty Moore Foundation Marine Microbiology Initiative,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/181/475/GCF_000181475.1_ASM18147v1,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Gimesia,Gimesia maris,DSM 8797,{},{},2436120,2018-03-28T14:09:25.188Z,2021-03-04T04:39:54.664Z,
0,299,,GCF_000153105,GCF_000153105.1,1,GCA_000153105,GCA_000153105.1,314230,Blastopirellula marina DSM 3645,representative genome,PRJNA224116,SAMN02436112,AANZ00000000.1,,latest,Scaffold,Major,2006-04-03,ASM15310v1,The Gordon and Betty Moore Foundation Marine Microbiology Initiative,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/153/105/GCF_000153105.1_ASM15310v1,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Blastopirellula,Blastopirellula marina,DSM 3645,{},{},2436112,2018-03-28T14:09:25.188Z,2021-03-04T04:39:56.840Z,
0,300,,GCF_000025185,GCF_000025185.1,1,GCA_000025185,GCA_000025185.1,530564,Pirellula staleyi DSM 6068,representative genome,PRJNA224116,SAMN00120219,,,latest,Complete Genome,Major,2010-01-07,ASM2518v1,US DOE Joint Genome Institute (JGI-PGF),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/185/GCF_000025185.1_ASM2518v1,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Pirellula,Pirellula staleyi,DSM 6068,{},{},120219,2018-03-28T14:09:25.188Z,2021-03-04T04:39:58.103Z,
0,301,,GCF_000186345,GCF_000186345.1,1,GCA_000186345,GCA_000186345.1,575540,Isosphaera pallida ATCC 43644,representative genome,PRJNA224116,SAMN00138929,,,latest,Complete Genome,Major,2011-01-20,ASM18634v1,US DOE Joint Genome Institute (JGI-PGF),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/186/345/GCF_000186345.1_ASM18634v1,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Isosphaeraceae,Isosphaera,Isosphaera pallida,ATCC 43644,{},{},138929,2018-03-28T14:09:25.188Z,2021-03-04T04:39:59.890Z,
0,302,,GCF_000283235,GCF_000283235.1,1,GCA_000283235,GCA_000283235.1,1134912,Methylocystis parvus OBBP,representative genome,PRJNA224116,SAMN02469457,AJTV00000000.1,,latest,Contig,Major,2012-07-31,MetPar_1.0,CIB-CSIC,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/283/235/GCF_000283235.1_MetPar_1.0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,Methylocystis,Methylocystis parvus,OBBP,{},{},2469457,2018-03-28T14:09:25.188Z,2021-03-04T04:40:02.026Z,
0,303,,GCF_000008685,GCF_000008685.2,2,GCA_000008685,GCA_000008685.2,224326,Borrelia burgdorferi B31,reference genome,PRJNA57581,SAMN02603966,,,latest,Complete Genome,Major,2011-11-09,ASM868v2,TIGR,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/685/GCF_000008685.2_ASM868v2,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Borreliaceae,Borreliella,Borreliella burgdorferi,B31,{},{},2603966,2018-03-28T14:09:25.188Z,2021-03-04T04:40:04.154Z,
0,304,,GCF_001660005,GCF_001660005.1,1,GCA_001660005,GCA_001660005.1,1867252,Borrelia hermsii HS1,representative genome,PRJNA224116,SAMN04481062,,Browne Mountain,latest,Complete Genome,Major,2016-04-22,ASM166000v1,University of California Irvine,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/660/005/GCF_001660005.1_ASM166000v1,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Borreliaceae,Borrelia,Borrelia hermsii,HS1,{},{},4481062,2018-03-28T14:09:25.188Z,2021-03-04T04:40:06.023Z,
0,305,,GCF_000012085,GCF_000012085.2,2,GCA_000012085,GCA_000012085.2,314724,Borrelia turicatae 91E135,representative genome,PRJNA224116,SAMN02603508,,Oz1,latest,Complete Genome,Major,2017-07-05,ASM1208v2,"Laboratory of Human Bacterial Pathenogenesis, Rocky Mountain Laboratories, NIAID",ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/085/GCF_000012085.2_ASM1208v2,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Borreliaceae,Borrelia,Borrelia turicatae,91E135,{},{},2603508,2018-03-28T14:09:25.188Z,2021-03-04T04:40:08.368Z,
0,306,,GCF_001936255,GCF_001936255.1,1,GCA_001936255,GCA_001936255.1,1365188,Borrelia anserina Es,representative genome,PRJNA224116,SAMN04359737,,UTHSCSA,latest,Complete Genome,Major,2017-01-05,ASM193625v1,University of California Irvine,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/936/255/GCF_001936255.1_ASM193625v1,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Borreliaceae,Borrelia,Borrelia anserina,Es,{},{},4359737,2018-03-28T14:09:25.188Z,2021-03-04T04:40:10.804Z,
0,307,,GCF_000568755,GCF_000568755.1,1,GCA_000568755,GCA_000568755.1,1313292,Borrelia coriaceae Co53,representative genome,PRJNA224116,SAMN03081463,,,latest,Chromosome,Major,2014-01-27,ASM56875v1,Integrated Genomics,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/568/755/GCF_000568755.1_ASM56875v1,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Borreliaceae,Borrelia,Borrelia coriaceae,Co53,{},{},3081463,2018-03-28T14:09:25.247Z,2021-03-04T04:40:12.487Z,
0,308,,GCF_000008185,GCF_000008185.1,1,GCA_000008185,GCA_000008185.1,243275,Treponema denticola ATCC 35405,reference genome,PRJNA57583,SAMN02603967,,,latest,Complete Genome,Major,2004-02-03,ASM818v1,TIGR,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/185/GCF_000008185.1_ASM818v1,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,Treponema denticola,ATCC 35405,{},{},2603967,2018-03-28T14:09:25.247Z,2021-03-04T04:40:14.602Z,
0,309,,GCF_001676785,GCF_001676785.2,2,GCA_001676785,GCA_001676785.2,1266923,Brachyspira hyodysenteriae ATCC 27164,representative genome,PRJNA224116,SAMN05172954,,,latest,Complete Genome,Major,2016-09-30,ASM167678v2,University of Minnesota,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/676/785/GCF_001676785.2_ASM167678v2,Bacteria,Spirochaetes,Spirochaetia,Brachyspirales,Brachyspiraceae,Brachyspira,Brachyspira hyodysenteriae,ATCC 27164,{},{},5172954,2018-03-28T14:09:25.247Z,2021-03-04T04:40:15.896Z,
0,310,,GCF_000604125,GCF_000604125.1,1,GCA_000604125,GCA_000604125.1,1095955,Treponema pallidum subsp. pallidum str. Sea 81-4,representative genome,PRJNA224116,SAMN03081438,,,latest,Complete Genome,Major,2014-03-28,ASM60412v1,University of Washington,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/604/125/GCF_000604125.1_ASM60412v1,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,Treponema pallidum,subsp. pallidum str. Sea 81-4,{},{},3081438,2018-03-28T14:09:25.247Z,2021-03-04T04:40:17.014Z,
0,311,,GCF_000513775,GCF_000513775.1,1,GCA_000513775,GCA_000513775.1,1306407,Treponema phagedenis 4A,representative genome,PRJNA224116,SAMN01983889,AQCF00000000.1,,latest,Contig,Major,2014-01-07,ASM51377v1,USDA-ARS,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/513/775/GCF_000513775.1_ASM51377v1,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,Treponema phagedenis,4A,{},{},1983889,2018-03-28T14:09:25.247Z,2021-03-04T04:40:18.108Z,
0,312,,GCF_000421345,GCF_000421345.1,1,GCA_000421345,GCA_000421345.1,877418,Treponema bryantii NK4A124,representative genome,PRJNA224116,SAMN02441227,ATWV00000000.1,,latest,Contig,Major,2013-07-09,ASM42134v1,DOE Joint Genome Institute,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/421/345/GCF_000421345.1_ASM42134v1,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,Treponema bryantii,NK4A124,{},{},2441227,2018-03-28T14:09:25.247Z,2021-03-04T04:40:20.005Z,
0,313,,GCF_000255555,GCF_000255555.1,1,GCA_000255555,GCA_000255555.2,907348,Treponema saccharophilum DSM 2985,representative genome,PRJNA224116,SAMN02261376,AGRW00000000.1,,latest,Contig,Major,2012-03-21,ASM25555v2,JGI,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/255/555/GCF_000255555.1_ASM25555v2,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,Treponema saccharophilum,DSM 2985,{},{},2261376,2018-03-28T14:09:25.247Z,2021-03-04T04:40:22.674Z,
0,314,,GCF_000195275,GCF_000195275.1,1,GCA_000195275,GCA_000195275.1,869209,Treponema succinifaciens DSM 2489,representative genome,PRJNA224116,SAMN00713601,,,latest,Complete Genome,Major,2011-04-07,ASM19527v1,US DOE Joint Genome Institute (JGI-PGF),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/195/275/GCF_000195275.1_ASM19527v1,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,Treponema succinifaciens,DSM 2489,{},{},713601,2018-03-28T14:09:25.247Z,2021-03-04T04:40:23.960Z,
0,315,,GCF_000017685,GCF_000017685.1,1,GCA_000017685,GCA_000017685.1,456481,Leptospira biflexa serovar Patoc strain 'Patoc 1 (Paris)',representative genome,PRJNA224116,SAMN02603347,,,latest,Complete Genome,Major,2008-02-13,ASM1768v1,Institut Pasteur,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/685/GCF_000017685.1_ASM1768v1,Bacteria,Spirochaetes,Spirochaetia,,Leptospiraceae,Leptospira,Leptospira biflexa,serovar Patoc strain 'Patoc 1 (Paris)',{},{},2603347,2018-03-28T14:09:25.247Z,2021-03-04T04:40:25.243Z,
