,gene_id,version,phylum,class,order,family,genus,species_x,DBD,id,species,tsne-pca500-one,tsne-pca500-two
14,K420_RS0114670,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,EAL,GCF_000519045.1-K420_RS0114670,K420,-38.595634,2.3614287
15,K420_RS0114345,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,EAL,GCF_000519045.1-K420_RS0114345,K420,-3.066339,-46.792015
16,K420_RS18955,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,GGDEF,GCF_000519045.1-K420_RS18955,K420,-37.264317,15.622047
17,K420_RS0112435,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,Trans_reg_C,GCF_000519045.1-K420_RS0112435,K420,-7.025809,12.422497
18,K420_RS0112390,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,Trans_reg_C,GCF_000519045.1-K420_RS0112390,K420,-14.536843,5.1256676
19,K420_RS0114955,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,PAS,GCF_000519045.1-K420_RS0114955,K420,-29.190628,2.696324
20,K420_RS0114840,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,GerE,GCF_000519045.1-K420_RS0114840,K420,17.523949,34.276695
21,K420_RS0112095,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,HTH_8,GCF_000519045.1-K420_RS0112095,K420,15.311384,9.055708
22,K420_RS0111890,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,Sigma54_activat,GCF_000519045.1-K420_RS0111890,K420,11.07597,-6.3868666
23,K420_RS0111410,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,,GCF_000519045.1-K420_RS0111410,K420,-10.918558,2.6038988
24,K420_RS0111380,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,GGDEF,GCF_000519045.1-K420_RS0111380,K420,-33.455257,-18.690193
25,K420_RS0111235,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,GGDEF,GCF_000519045.1-K420_RS0111235,K420,-32.126945,7.554049
26,K420_RS0111230,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,,GCF_000519045.1-K420_RS0111230,K420,-0.9979408,-22.169344
27,K420_RS0111175,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,HTH_8,GCF_000519045.1-K420_RS0111175,K420,-2.005363,-9.533625
28,K420_RS0113520,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,GerE,GCF_000519045.1-K420_RS0113520,K420,23.457676,12.642645
29,K420_RS0112925,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,Trans_reg_C,GCF_000519045.1-K420_RS0112925,K420,-9.564763,20.722534
30,K420_RS0110735,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,HD,GCF_000519045.1-K420_RS0110735,K420,-43.55288,-2.6343832
31,K420_RS18725,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,,GCF_000519045.1-K420_RS18725,K420,-32.44802,-9.476885
32,K420_RS0110565,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,HD_5,GCF_000519045.1-K420_RS0110565,K420,-26.485502,-4.8074183
33,K420_RS0110400,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,GerE,GCF_000519045.1-K420_RS0110400,K420,17.82734,37.900097
34,K420_RS0110360,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,HD,GCF_000519045.1-K420_RS0110360,K420,-25.568779,-6.546811
35,K420_RS0109770,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,GerE,GCF_000519045.1-K420_RS0109770,K420,31.58875,19.683622
36,K420_RS0109705,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,GerE,GCF_000519045.1-K420_RS0109705,K420,27.284431,16.244028
37,K420_RS0109555,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,Trans_reg_C,GCF_000519045.1-K420_RS0109555,K420,-1.9909579,22.463154
38,K420_RS18575,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,EAL,GCF_000519045.1-K420_RS18575,K420,25.907598,-18.1777
39,K420_RS0109475,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,HD_5,GCF_000519045.1-K420_RS0109475,K420,24.694096,-22.349232
40,K420_RS0109470,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,,GCF_000519045.1-K420_RS0109470,K420,29.455647,-22.660227
41,K420_RS0109455,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,,GCF_000519045.1-K420_RS0109455,K420,22.35379,-19.952135
42,K420_RS0109255,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,Trans_reg_C,GCF_000519045.1-K420_RS0109255,K420,-3.472603,21.44961
43,K420_RS0109220,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,GerE,GCF_000519045.1-K420_RS0109220,K420,27.586878,11.757198
44,K420_RS0109195,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,ANTAR,GCF_000519045.1-K420_RS0109195,K420,42.864372,-17.94336
45,K420_RS0108540,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,HD,GCF_000519045.1-K420_RS0108540,K420,-26.37641,-7.9192276
46,K420_RS0108150,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,,GCF_000519045.1-K420_RS0108150,K420,-9.61744,-24.902647
47,K420_RS0110295,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,Trans_reg_C,GCF_000519045.1-K420_RS0110295,K420,-11.246488,19.890804
48,K420_RS0107350,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,Trans_reg_C,GCF_000519045.1-K420_RS0107350,K420,-0.33361843,9.273579
49,K420_RS0107320,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,HTH_17,GCF_000519045.1-K420_RS0107320,K420,-21.018309,-13.2123785
50,K420_RS0107050,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,LytTR,GCF_000519045.1-K420_RS0107050,K420,7.9458027,-19.312473
51,K420_RS0107015,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,GGDEF,GCF_000519045.1-K420_RS0107015,K420,-36.274197,14.730171
52,K420_RS0108965,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,Trans_reg_C,GCF_000519045.1-K420_RS0108965,K420,-17.912066,3.1995556
53,K420_RS0108735,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,HTH_8,GCF_000519045.1-K420_RS0108735,K420,2.9489026,-12.813162
54,K420_RS0106515,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,HTH_8,GCF_000519045.1-K420_RS0106515,K420,20.578182,-7.446201
55,K420_RS0105730,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,HTH_8,GCF_000519045.1-K420_RS0105730,K420,30.483536,-16.865599
56,K420_RS0105625,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,GerE,GCF_000519045.1-K420_RS0105625,K420,27.23614,11.907714
57,K420_RS0105075,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,TPR_16,GCF_000519045.1-K420_RS0105075,K420,-3.4807603,-33.75094
58,K420_RS18125,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,HD,GCF_000519045.1-K420_RS18125,K420,-29.917583,-4.6737413
59,K420_RS0104240,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,HTH_8,GCF_000519045.1-K420_RS0104240,K420,8.309191,-1.5335071
60,K420_RS18075,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,PAS,GCF_000519045.1-K420_RS18075,K420,-27.409359,-8.934248
61,K420_RS0106325,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,GerE,GCF_000519045.1-K420_RS0106325,K420,14.026809,38.970448
62,K420_RS18285,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,,GCF_000519045.1-K420_RS18285,K420,13.857447,36.834396
63,K420_RS0105995,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,,GCF_000519045.1-K420_RS0105995,K420,-37.601784,-9.428104
64,K420_RS0105990,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,,GCF_000519045.1-K420_RS0105990,K420,-24.240664,-21.23042
65,K420_RS18035,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,,GCF_000519045.1-K420_RS18035,K420,-31.0335,22.128231
66,K420_RS0103720,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,,GCF_000519045.1-K420_RS0103720,K420,-15.988812,-15.673223
67,K420_RS18015,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,CheB_methylest,GCF_000519045.1-K420_RS18015,K420,12.516197,-39.879692
68,K420_RS0103660,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,CheW,GCF_000519045.1-K420_RS0103660,K420,-28.437485,-34.721146
69,K420_RS0103655,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,,GCF_000519045.1-K420_RS0103655,K420,-6.0608916,-23.015768
70,K420_RS0103480,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,,GCF_000519045.1-K420_RS0103480,K420,-4.1950917,-35.258244
71,K420_RS0102875,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,GerE,GCF_000519045.1-K420_RS0102875,K420,26.140762,4.4480267
72,K420_RS0102465,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,PAS,GCF_000519045.1-K420_RS0102465,K420,-27.219143,2.9472084
73,K420_RS17885,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,Trans_reg_C,GCF_000519045.1-K420_RS17885,K420,-6.5166078,18.120436
74,K420_RS0102055,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,HTH_8,GCF_000519045.1-K420_RS0102055,K420,18.658344,28.122177
75,K420_RS0101650,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,,GCF_000519045.1-K420_RS0101650,K420,-13.304631,-29.626785
76,K420_RS0101530,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,Trans_reg_C,GCF_000519045.1-K420_RS0101530,K420,-18.514404,11.203344
77,K420_RS0103075,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,Trans_reg_C,GCF_000519045.1-K420_RS0103075,K420,-15.528172,12.045571
78,K420_RS0101295,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,HTH_8,GCF_000519045.1-K420_RS0101295,K420,15.730655,2.5015638
79,K420_RS0101155,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,GGDEF,GCF_000519045.1-K420_RS0101155,K420,-29.12091,7.4467854
80,K420_RS0101065,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,,GCF_000519045.1-K420_RS0101065,K420,-14.276353,-22.617254
81,K420_RS0101030,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,CheB_methylest,GCF_000519045.1-K420_RS0101030,K420,14.503379,-36.200756
82,K420_RS0101020,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,CheW,GCF_000519045.1-K420_RS0101020,K420,-27.475143,-33.899254
83,K420_RS0101015,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,CheW,GCF_000519045.1-K420_RS0101015,K420,-23.853664,-33.306633
84,K420_RS0101010,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,,GCF_000519045.1-K420_RS0101010,K420,-7.41542,-23.331884
85,K420_RS0100815,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,HTH_8,GCF_000519045.1-K420_RS0100815,K420,14.839413,-10.567744
86,K420_RS0100700,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,Trans_reg_C,GCF_000519045.1-K420_RS0100700,K420,-5.882567,9.55244
87,DSUI_RS17275,GCF_000236665.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Azospira,Azospira oryzae,Trans_reg_C,GCF_000236665.1-DSUI_RS17275,DSUI,-9.770417,20.691395
88,DSUI_RS17090,GCF_000236665.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Azospira,Azospira oryzae,HTH_8,GCF_000236665.1-DSUI_RS17090,DSUI,17.651785,27.862207
89,DSUI_RS17020,GCF_000236665.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Azospira,Azospira oryzae,,GCF_000236665.1-DSUI_RS17020,DSUI,-17.766823,-22.172646
90,DSUI_RS17010,GCF_000236665.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Azospira,Azospira oryzae,,GCF_000236665.1-DSUI_RS17010,DSUI,29.33151,-3.943559
91,DSUI_RS17005,GCF_000236665.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Azospira,Azospira oryzae,GerE,GCF_000236665.1-DSUI_RS17005,DSUI,37.639282,9.41776
92,DSUI_RS16995,GCF_000236665.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Azospira,Azospira oryzae,HTH_8,GCF_000236665.1-DSUI_RS16995,DSUI,16.601337,28.563002
93,DSUI_RS16905,GCF_000236665.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Azospira,Azospira oryzae,EAL,GCF_000236665.1-DSUI_RS16905,DSUI,-10.676828,-11.074659
94,DSUI_RS16900,GCF_000236665.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Azospira,Azospira oryzae,Trans_reg_C,GCF_000236665.1-DSUI_RS16900,DSUI,-3.133475,22.69698
95,DSUI_RS16600,GCF_000236665.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Azospira,Azospira oryzae,GerE,GCF_000236665.1-DSUI_RS16600,DSUI,16.59827,34.110695
96,DSUI_RS17860,GCF_000236665.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Azospira,Azospira oryzae,,GCF_000236665.1-DSUI_RS17860,DSUI,31.05555,-23.96686
97,DSUI_RS16330,GCF_000236665.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Azospira,Azospira oryzae,EAL,GCF_000236665.1-DSUI_RS16330,DSUI,-25.687874,-5.251381
98,DSUI_RS17855,GCF_000236665.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Azospira,Azospira oryzae,,GCF_000236665.1-DSUI_RS17855,DSUI,30.936268,-23.865265
99,DSUI_RS15585,GCF_000236665.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Azospira,Azospira oryzae,Trans_reg_C,GCF_000236665.1-DSUI_RS15585,DSUI,-18.095507,19.718256
100,DSUI_RS15480,GCF_000236665.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Azospira,Azospira oryzae,GerE,GCF_000236665.1-DSUI_RS15480,DSUI,18.683393,37.75754
101,DSUI_RS15435,GCF_000236665.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Azospira,Azospira oryzae,Trans_reg_C,GCF_000236665.1-DSUI_RS15435,DSUI,6.0685577,12.024747
102,DSUI_RS15300,GCF_000236665.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Azospira,Azospira oryzae,,GCF_000236665.1-DSUI_RS15300,DSUI,-5.0738873,-24.200876
103,DSUI_RS14685,GCF_000236665.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Azospira,Azospira oryzae,HD,GCF_000236665.1-DSUI_RS14685,DSUI,-9.712259,-10.289018
104,DSUI_RS14680,GCF_000236665.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Azospira,Azospira oryzae,HD,GCF_000236665.1-DSUI_RS14680,DSUI,-9.791737,-10.317303
105,DSUI_RS13625,GCF_000236665.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Azospira,Azospira oryzae,,GCF_000236665.1-DSUI_RS13625,DSUI,-17.294666,-0.55505866
106,DSUI_RS13620,GCF_000236665.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Azospira,Azospira oryzae,HD_5,GCF_000236665.1-DSUI_RS13620,DSUI,-29.12799,-1.6035581
107,DSUI_RS13610,GCF_000236665.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Azospira,Azospira oryzae,,GCF_000236665.1-DSUI_RS13610,DSUI,29.631638,-36.100304
108,DSUI_RS16105,GCF_000236665.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Azospira,Azospira oryzae,SpoIIE,GCF_000236665.1-DSUI_RS16105,DSUI,-27.862791,-6.964772
109,DSUI_RS16100,GCF_000236665.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Azospira,Azospira oryzae,HTH_8,GCF_000236665.1-DSUI_RS16100,DSUI,14.863572,8.209236
110,DSUI_RS12115,GCF_000236665.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Azospira,Azospira oryzae,GGDEF,GCF_000236665.1-DSUI_RS12115,DSUI,-31.396418,7.0376325
111,DSUI_RS12110,GCF_000236665.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Azospira,Azospira oryzae,,GCF_000236665.1-DSUI_RS12110,DSUI,-1.0429851,-22.187115
112,DSUI_RS11695,GCF_000236665.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Azospira,Azospira oryzae,Trans_reg_C,GCF_000236665.1-DSUI_RS11695,DSUI,-13.948752,6.0971885
113,DSUI_RS11490,GCF_000236665.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Azospira,Azospira oryzae,Sigma54_activat,GCF_000236665.1-DSUI_RS11490,DSUI,13.47487,-6.2516317
114,DSUI_RS14310,GCF_000236665.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Azospira,Azospira oryzae,GGDEF,GCF_000236665.1-DSUI_RS14310,DSUI,-31.66701,-18.567627
115,DSUI_RS10950,GCF_000236665.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Azospira,Azospira oryzae,Trans_reg_C,GCF_000236665.1-DSUI_RS10950,DSUI,-6.266842,23.062796
116,DSUI_RS10505,GCF_000236665.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Azospira,Azospira oryzae,GerE,GCF_000236665.1-DSUI_RS10505,DSUI,34.709812,8.383507
117,DSUI_RS12930,GCF_000236665.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Azospira,Azospira oryzae,Trans_reg_C,GCF_000236665.1-DSUI_RS12930,DSUI,-6.074089,12.6525345
118,DSUI_RS12240,GCF_000236665.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Azospira,Azospira oryzae,GerE,GCF_000236665.1-DSUI_RS12240,DSUI,13.883217,38.853462
119,DSUI_RS10120,GCF_000236665.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Azospira,Azospira oryzae,GerE,GCF_000236665.1-DSUI_RS10120,DSUI,12.732389,39.060932
120,DSUI_RS17690,GCF_000236665.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Azospira,Azospira oryzae,PAS,GCF_000236665.1-DSUI_RS17690,DSUI,27.67989,-17.690956
121,DSUI_RS09315,GCF_000236665.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Azospira,Azospira oryzae,HTH_8,GCF_000236665.1-DSUI_RS09315,DSUI,0.2982341,-9.393835
